 TIME                    	COP_theoretical_Cool     	COP_theoretical_Heat     	PL_Percent_Cool          	PL_Percent_Heat          	
  +5.3830000000000000E+03	  +7.9237499556339755E-03	  +4.7508670570025489E+00	  +0.0000000000000000E+00	  +2.3659597281689126E-01	
  +5.3840000000000000E+03	  +7.9236730020317125E-03	  +6.2032582209830328E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.3850000000000000E+03	  +7.9235960448215421E-03	  +6.2033427364906303E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.3860000000000000E+03	  +8.6703068925984628E+00	  +6.2034272559170021E-03	  +5.1646059228301355E-01	  +0.0000000000000000E+00	
  +5.3870000000000000E+03	  +7.2994291267765297E+00	  +6.2035117792186697E-03	  +3.2241650830968460E-01	  +0.0000000000000000E+00	
  +5.3880000000000000E+03	  +6.9757911248776052E+00	  +6.2035963063521455E-03	  +2.9664200090934983E-01	  +0.0000000000000000E+00	
  +5.3890000000000000E+03	  +6.8517773100862254E+00	  +6.2036808372739451E-03	  +2.8750408236470920E-01	  +0.0000000000000000E+00	
  +5.3900000000000000E+03	  +6.5053441212877141E+00	  +6.2037653719405807E-03	  +2.6369972195899288E-01	  +0.0000000000000000E+00	
  +5.3910000000000000E+03	  +6.1424366556328573E+00	  +6.2038499103085629E-03	  +2.4100499638634851E-01	  +0.0000000000000000E+00	
  +5.3920000000000000E+03	  +6.1963670286514878E+00	  +6.2039344523344003E-03	  +2.4425670959950729E-01	  +0.0000000000000000E+00	
  +5.3930000000000000E+03	  +7.9229802620068707E-03	  +6.2040189979745983E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.3940000000000000E+03	  +8.7205798312181315E+00	  +6.2041035471856630E-03	  +5.3592893205847669E-01	  +0.0000000000000000E+00	
  +5.3950000000000000E+03	  +7.9228262829959470E-03	  +4.7509274085500728E+00	  +0.0000000000000000E+00	  +2.3654212567099425E-01	
  +5.3960000000000000E+03	  +7.9227492887122240E-03	  +6.2042726561463988E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.3970000000000000E+03	  +8.0741475610930120E+00	  +6.2043572158090709E-03	  +4.0231594134360749E-01	  +0.0000000000000000E+00	
  +5.3980000000000000E+03	  +7.9225952907863075E-03	  +6.2044417788686091E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.3990000000000000E+03	  +7.9225182872233423E-03	  +6.2045263452815093E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4000000000000000E+03	  +7.9224412806465239E-03	  +6.2046109150042661E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4010000000000000E+03	  +7.9223642710954684E-03	  +6.2046954879933728E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4020000000000000E+03	  +7.9222872586097934E-03	  +6.2047800642053164E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4030000000000000E+03	  +7.9222102432291233E-03	  +6.2048646435965893E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4040000000000000E+03	  +7.9221332249930759E-03	  +6.2049492261236775E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4050000000000000E+03	  +7.9220562039412738E-03	  +6.2050338117430664E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4060000000000000E+03	  +7.9219791801133435E-03	  +6.2051184004112414E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4070000000000000E+03	  +7.9219021535489077E-03	  +4.7509877349193017E+00	  +0.0000000000000000E+00	  +2.3648827641746795E-01	
  +5.4080000000000000E+03	  +7.9218251242875962E-03	  +6.2052875867198744E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4090000000000000E+03	  +7.9217480923690353E-03	  +6.2053721842732917E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4100000000000000E+03	  +7.9216710578328565E-03	  +6.2054567847014174E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4110000000000000E+03	  +7.9215940207186912E-03	  +6.2055413879607245E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4120000000000000E+03	  +7.9215169810661692E-03	  +6.2056259940076906E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4130000000000000E+03	  +7.8598240498405261E+00	  +6.2057106027987863E-03	  +3.7669554162016272E-01	  +0.0000000000000000E+00	
  +5.4140000000000000E+03	  +7.9213628943045986E-03	  +6.2057952142904873E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4150000000000000E+03	  +7.9212858472748199E-03	  +6.2058798284392609E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4160000000000000E+03	  +7.9212087978652295E-03	  +6.2059644452015792E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4170000000000000E+03	  +7.9211317461154677E-03	  +6.2060490645339085E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4180000000000000E+03	  +7.9210546920651711E-03	  +6.2061336863927169E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4190000000000000E+03	  +7.9758295658798959E+00	  +6.2062183107344689E-03	  +3.9022101021495037E-01	  +0.0000000000000000E+00	
  +5.4200000000000000E+03	  +7.9209005772215429E-03	  +6.2063029375156288E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4210000000000000E+03	  +7.9208235165074969E-03	  +6.2063875666926597E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4220000000000000E+03	  +7.9207464536514907E-03	  +6.2064721982220249E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4230000000000000E+03	  +7.9206693886931696E-03	  +6.2065568320601823E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4240000000000000E+03	  +7.9205923216721773E-03	  +6.2066414681635927E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4250000000000000E+03	  +7.9205152526281662E-03	  +6.2067261064887120E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4260000000000000E+03	  +7.9204381816007814E-03	  +6.2068107469920013E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4270000000000000E+03	  +7.9203611086296755E-03	  +6.2068953896299121E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4280000000000000E+03	  +7.9202840337544971E-03	  +6.2069800343589028E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4290000000000000E+03	  +7.9202069570148987E-03	  +6.2070646811354250E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4300000000000000E+03	  +7.9201298784505342E-03	  +6.2071493299159317E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4310000000000000E+03	  +7.9200527981010578E-03	  +4.7511082941716394E+00	  +0.0000000000000000E+00	  +2.3638058760646902E-01	
  +5.4320000000000000E+03	  +7.9199757160061234E-03	  +6.2073186333147052E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4330000000000000E+03	  +7.9198986322053869E-03	  +6.2074032878458715E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4340000000000000E+03	  +7.9198215467385039E-03	  +6.2074879442068232E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
