 TIME                    	Electric                 	Cooling                  	Heating                  	Dehumidification         	
 HOURS              	kWh                 	kWh                 	kWh                 	kWh                 	
  +7.9790000000000000E+03	  +4.1274740039929056E+04	  +1.8324247499999966E+05	  +3.7561265000000036E+04	  +1.0015300000000005E+04	
  +7.9800000000000000E+03	  +4.1295758193738104E+04	  +1.8324247499999966E+05	  +3.7561265000000036E+04	  +1.0015300000000005E+04	
  +7.9810000000000000E+03	  +4.1295758193738104E+04	  +1.8324247499999966E+05	  +3.7561265000000036E+04	  +1.0015300000000005E+04	
  +7.9820000000000000E+03	  +4.1295758193738104E+04	  +1.8324247499999966E+05	  +3.7561265000000036E+04	  +1.0015300000000005E+04	
  +7.9830000000000000E+03	  +4.1295758193738104E+04	  +1.8324247499999966E+05	  +3.7561265000000036E+04	  +1.0015300000000005E+04	
  +7.9840000000000000E+03	  +4.1295758193738104E+04	  +1.8324247499999966E+05	  +3.7561450000000033E+04	  +1.0015300000000005E+04	
  +7.9850000000000000E+03	  +4.1295758193738104E+04	  +1.8324247499999966E+05	  +3.7561810000000034E+04	  +1.0015300000000005E+04	
  +7.9860000000000000E+03	  +4.1295758193738104E+04	  +1.8324247499999966E+05	  +3.7562110000000037E+04	  +1.0015300000000005E+04	
  +7.9870000000000000E+03	  +4.1295758193738104E+04	  +1.8324247499999966E+05	  +3.7562345000000038E+04	  +1.0015300000000005E+04	
  +7.9880000000000000E+03	  +4.1295758193738104E+04	  +1.8324247499999966E+05	  +3.7562575000000041E+04	  +1.0015300000000005E+04	
  +7.9890000000000000E+03	  +4.1295758193738104E+04	  +1.8324247499999966E+05	  +3.7569015000000043E+04	  +1.0015300000000005E+04	
  +7.9900000000000000E+03	  +4.1295758193738104E+04	  +1.8324247499999966E+05	  +3.7613540000000045E+04	  +1.0015300000000005E+04	
  +7.9910000000000000E+03	  +4.1295758193738104E+04	  +1.8324247499999966E+05	  +3.7691120000000046E+04	  +1.0015300000000005E+04	
  +7.9920000000000000E+03	  +4.1316776402183110E+04	  +1.8324247499999966E+05	  +3.7790275000000045E+04	  +1.0015300000000005E+04	
  +7.9930000000000000E+03	  +4.1316776402183110E+04	  +1.8324247499999966E+05	  +3.7910100000000042E+04	  +1.0015300000000005E+04	
  +7.9940000000000000E+03	  +4.1316776402183110E+04	  +1.8324247499999966E+05	  +3.8030460000000043E+04	  +1.0015300000000005E+04	
  +7.9950000000000000E+03	  +4.1316776402183110E+04	  +1.8324247499999966E+05	  +3.8151355000000040E+04	  +1.0015300000000005E+04	
  +7.9960000000000000E+03	  +4.1316776402183110E+04	  +1.8324247499999966E+05	  +3.8272785000000040E+04	  +1.0015300000000005E+04	
  +7.9970000000000000E+03	  +4.1316776402183110E+04	  +1.8324247499999966E+05	  +3.8394485000000037E+04	  +1.0015300000000005E+04	
  +7.9980000000000000E+03	  +4.1316776402183110E+04	  +1.8324247499999966E+05	  +3.8510285000000040E+04	  +1.0015300000000005E+04	
  +7.9990000000000000E+03	  +4.1316776402183110E+04	  +1.8324247499999966E+05	  +3.8612995000000039E+04	  +1.0015300000000005E+04	
  +8.0000000000000000E+03	  +4.1335321270396889E+04	  +1.8324247499999966E+05	  +3.8660755000000041E+04	  +1.0015300000000005E+04	
  +8.0010000000000000E+03	  +4.1335321270396889E+04	  +1.8324247499999966E+05	  +3.8660755000000041E+04	  +1.0015300000000005E+04	
  +8.0020000000000000E+03	  +4.1335321270396889E+04	  +1.8324247499999966E+05	  +3.8660755000000041E+04	  +1.0015300000000005E+04	
  +8.0030000000000000E+03	  +4.1335321270396889E+04	  +1.8324247499999966E+05	  +3.8660755000000041E+04	  +1.0015300000000005E+04	
  +8.0040000000000000E+03	  +4.1356339535494320E+04	  +1.8324247499999966E+05	  +3.8660755000000041E+04	  +1.0015300000000005E+04	
  +8.0050000000000000E+03	  +4.1356339535494320E+04	  +1.8324247499999966E+05	  +3.8660755000000041E+04	  +1.0015300000000005E+04	
  +8.0060000000000000E+03	  +4.1356339535494320E+04	  +1.8324247499999966E+05	  +3.8660755000000041E+04	  +1.0015300000000005E+04	
  +8.0070000000000000E+03	  +4.1356339535494320E+04	  +1.8324247499999966E+05	  +3.8660755000000041E+04	  +1.0015300000000005E+04	
  +8.0080000000000000E+03	  +4.1356339535494320E+04	  +1.8324247499999966E+05	  +3.8660920000000042E+04	  +1.0015300000000005E+04	
  +8.0090000000000000E+03	  +4.1356339535494320E+04	  +1.8324247499999966E+05	  +3.8661245000000039E+04	  +1.0015300000000005E+04	
  +8.0100000000000000E+03	  +4.1356339535494320E+04	  +1.8324247499999966E+05	  +3.8661490000000042E+04	  +1.0015300000000005E+04	
  +8.0110000000000000E+03	  +4.1356339535494320E+04	  +1.8324247499999966E+05	  +3.8661645000000040E+04	  +1.0015300000000005E+04	
  +8.0120000000000000E+03	  +4.1356339535494320E+04	  +1.8324247499999966E+05	  +3.8661825000000041E+04	  +1.0015300000000005E+04	
  +8.0130000000000000E+03	  +4.1356339535494320E+04	  +1.8324247499999966E+05	  +3.8662020000000040E+04	  +1.0015300000000005E+04	
  +8.0140000000000000E+03	  +4.1356339535494320E+04	  +1.8324247499999966E+05	  +3.8662105000000040E+04	  +1.0015300000000005E+04	
  +8.0150000000000000E+03	  +4.1356339535494320E+04	  +1.8324247499999966E+05	  +3.8691385000000038E+04	  +1.0015300000000005E+04	
  +8.0160000000000000E+03	  +4.1356339535494320E+04	  +1.8324247499999966E+05	  +3.8776155000000035E+04	  +1.0015300000000005E+04	
  +8.0170000000000000E+03	  +4.1356339535494320E+04	  +1.8324247499999966E+05	  +3.8887135000000038E+04	  +1.0015300000000005E+04	
  +8.0180000000000000E+03	  +4.1356339535494320E+04	  +1.8324247499999966E+05	  +3.8998380000000041E+04	  +1.0015300000000005E+04	
  +8.0190000000000000E+03	  +4.1356339535494320E+04	  +1.8324247499999966E+05	  +3.9109890000000043E+04	  +1.0015300000000005E+04	
  +8.0200000000000000E+03	  +4.1356339535494320E+04	  +1.8324247499999966E+05	  +3.9221135000000046E+04	  +1.0015300000000005E+04	
  +8.0210000000000000E+03	  +4.1356339535494320E+04	  +1.8324247499999966E+05	  +3.9332115000000049E+04	  +1.0015300000000005E+04	
  +8.0220000000000000E+03	  +4.1356339535494320E+04	  +1.8324247499999966E+05	  +3.9438995000000046E+04	  +1.0015300000000005E+04	
  +8.0230000000000000E+03	  +4.1377357894408320E+04	  +1.8324247499999966E+05	  +3.9531715000000047E+04	  +1.0015300000000005E+04	
  +8.0240000000000000E+03	  +4.1377357894408320E+04	  +1.8324247499999966E+05	  +3.9581955000000045E+04	  +1.0015300000000005E+04	
  +8.0250000000000000E+03	  +4.1377357894408320E+04	  +1.8324247499999966E+05	  +3.9590865000000049E+04	  +1.0015300000000005E+04	
  +8.0260000000000000E+03	  +4.1395901889293957E+04	  +1.8324247499999966E+05	  +3.9590865000000049E+04	  +1.0015300000000005E+04	
  +8.0270000000000000E+03	  +4.1395901889293957E+04	  +1.8324247499999966E+05	  +3.9590865000000049E+04	  +1.0015300000000005E+04	
  +8.0280000000000000E+03	  +4.1395901889293957E+04	  +1.8324247499999966E+05	  +3.9590865000000049E+04	  +1.0015300000000005E+04	
  +8.0290000000000000E+03	  +4.1416920278881080E+04	  +1.8324247499999966E+05	  +3.9590865000000049E+04	  +1.0015300000000005E+04	
  +8.0300000000000000E+03	  +4.1416920278881080E+04	  +1.8324247499999966E+05	  +3.9590865000000049E+04	  +1.0015300000000005E+04	
  +8.0310000000000000E+03	  +4.1416920278881080E+04	  +1.8324247499999966E+05	  +3.9590865000000049E+04	  +1.0015300000000005E+04	
  +8.0320000000000000E+03	  +4.1416920278881080E+04	  +1.8324247499999966E+05	  +3.9590865000000049E+04	  +1.0015300000000005E+04	
  +8.0330000000000000E+03	  +4.1416920278881080E+04	  +1.8324247499999966E+05	  +3.9590865000000049E+04	  +1.0015300000000005E+04	
  +8.0340000000000000E+03	  +4.1416920278881080E+04	  +1.8324247499999966E+05	  +3.9590865000000049E+04	  +1.0015300000000005E+04	
  +8.0350000000000000E+03	  +4.1416920278881080E+04	  +1.8324247499999966E+05	  +3.9590865000000049E+04	  +1.0015300000000005E+04	
  +8.0360000000000000E+03	  +4.1416920278881080E+04	  +1.8324247499999966E+05	  +3.9590865000000049E+04	  +1.0015300000000005E+04	
  +8.0370000000000000E+03	  +4.1416920278881080E+04	  +1.8324247499999966E+05	  +3.9590865000000049E+04	  +1.0015300000000005E+04	
  +8.0380000000000000E+03	  +4.1416920278881080E+04	  +1.8324247499999966E+05	  +3.9590865000000049E+04	  +1.0015300000000005E+04	
  +8.0390000000000000E+03	  +4.1416920278881080E+04	  +1.8324247499999966E+05	  +3.9590865000000049E+04	  +1.0015300000000005E+04	
  +8.0400000000000000E+03	  +4.1416920278881080E+04	  +1.8324247499999966E+05	  +3.9590865000000049E+04	  +1.0015300000000005E+04	
  +8.0410000000000000E+03	  +4.1437938731319518E+04	  +1.8324247499999966E+05	  +3.9590865000000049E+04	  +1.0015300000000005E+04	
  +8.0420000000000000E+03	  +4.1437938731319518E+04	  +1.8324247499999966E+05	  +3.9590865000000049E+04	  +1.0015300000000005E+04	
  +8.0430000000000000E+03	  +4.1437938731319518E+04	  +1.8324247499999966E+05	  +3.9623925000000047E+04	  +1.0015300000000005E+04	
  +8.0440000000000000E+03	  +4.1437938731319518E+04	  +1.8324247499999966E+05	  +3.9721320000000043E+04	  +1.0015300000000005E+04	
  +8.0450000000000000E+03	  +4.1437938731319518E+04	  +1.8324247499999966E+05	  +3.9851330000000045E+04	  +1.0015300000000005E+04	
  +8.0460000000000000E+03	  +4.1437938731319518E+04	  +1.8324247499999966E+05	  +3.9978300000000047E+04	  +1.0015300000000005E+04	
  +8.0470000000000000E+03	  +4.1437938731319518E+04	  +1.8324247499999966E+05	  +4.0094300000000047E+04	  +1.0015300000000005E+04	
  +8.0480000000000000E+03	  +4.1437938731319518E+04	  +1.8324247499999966E+05	  +4.0149005000000048E+04	  +1.0015300000000005E+04	
  +8.0490000000000000E+03	  +4.1437938731319518E+04	  +1.8324247499999966E+05	  +4.0149005000000048E+04	  +1.0015300000000005E+04	
  +8.0500000000000000E+03	  +4.1437938731319518E+04	  +1.8324247499999966E+05	  +4.0149005000000048E+04	  +1.0015300000000005E+04	
  +8.0510000000000000E+03	  +4.1437938731319518E+04	  +1.8324247499999966E+05	  +4.0149005000000048E+04	  +1.0015300000000005E+04	
  +8.0520000000000000E+03	  +4.1437938731319518E+04	  +1.8324247499999966E+05	  +4.0149005000000048E+04	  +1.0015300000000005E+04	
  +8.0530000000000000E+03	  +4.1456481751975567E+04	  +1.8324247499999966E+05	  +4.0149005000000048E+04	  +1.0015300000000005E+04	
  +8.0540000000000000E+03	  +4.1456481751975567E+04	  +1.8324247499999966E+05	  +4.0149005000000048E+04	  +1.0015300000000005E+04	
  +8.0550000000000000E+03	  +4.1456481751975567E+04	  +1.8324247499999966E+05	  +4.0149005000000048E+04	  +1.0015300000000005E+04	
  +8.0560000000000000E+03	  +4.1456481751975567E+04	  +1.8324247499999966E+05	  +4.0149205000000045E+04	  +1.0015300000000005E+04	
  +8.0570000000000000E+03	  +4.1456481751975567E+04	  +1.8324247499999966E+05	  +4.0149585000000043E+04	  +1.0015300000000005E+04	
  +8.0580000000000000E+03	  +4.1456481751975567E+04	  +1.8324247499999966E+05	  +4.0149765000000043E+04	  +1.0015300000000005E+04	
  +8.0590000000000000E+03	  +4.1456481751975567E+04	  +1.8324247499999966E+05	  +4.0149765000000043E+04	  +1.0015300000000005E+04	
  +8.0600000000000000E+03	  +4.1456481751975567E+04	  +1.8324247499999966E+05	  +4.0149765000000043E+04	  +1.0015300000000005E+04	
  +8.0610000000000000E+03	  +4.1456481751975567E+04	  +1.8324247499999966E+05	  +4.0149820000000043E+04	  +1.0015300000000005E+04	
  +8.0620000000000000E+03	  +4.1456481751975567E+04	  +1.8324247499999966E+05	  +4.0150005000000041E+04	  +1.0015300000000005E+04	
  +8.0630000000000000E+03	  +4.1456481751975567E+04	  +1.8324247499999966E+05	  +4.0150135000000038E+04	  +1.0015300000000005E+04	
  +8.0640000000000000E+03	  +4.1456481751975567E+04	  +1.8324247499999966E+05	  +4.0150135000000038E+04	  +1.0015300000000005E+04	
  +8.0650000000000000E+03	  +4.1477500336125573E+04	  +1.8324247499999966E+05	  +4.0150135000000038E+04	  +1.0015300000000005E+04	
  +8.0660000000000000E+03	  +4.1477500336125573E+04	  +1.8324247499999966E+05	  +4.0150135000000038E+04	  +1.0015300000000005E+04	
  +8.0670000000000000E+03	  +4.1477500336125573E+04	  +1.8324247499999966E+05	  +4.0194285000000040E+04	  +1.0015300000000005E+04	
  +8.0680000000000000E+03	  +4.1477500336125573E+04	  +1.8324247499999966E+05	  +4.0288295000000042E+04	  +1.0015300000000005E+04	
  +8.0690000000000000E+03	  +4.1477500336125573E+04	  +1.8324247499999966E+05	  +4.0387480000000040E+04	  +1.0015300000000005E+04	
  +8.0700000000000000E+03	  +4.1477500336125573E+04	  +1.8324247499999966E+05	  +4.0480525000000038E+04	  +1.0015300000000005E+04	
  +8.0710000000000000E+03	  +4.1477500336125573E+04	  +1.8324247499999966E+05	  +4.0561065000000039E+04	  +1.0015300000000005E+04	
  +8.0720000000000000E+03	  +4.1477500336125573E+04	  +1.8324247499999966E+05	  +4.0601405000000035E+04	  +1.0015300000000005E+04	
  +8.0730000000000000E+03	  +4.1477500336125573E+04	  +1.8324247499999966E+05	  +4.0604925000000032E+04	  +1.0015300000000005E+04	
  +8.0740000000000000E+03	  +4.1477500336125573E+04	  +1.8324247499999966E+05	  +4.0604925000000032E+04	  +1.0015300000000005E+04	
  +8.0750000000000000E+03	  +4.1477500336125573E+04	  +1.8324247499999966E+05	  +4.0604925000000032E+04	  +1.0015300000000005E+04	
  +8.0760000000000000E+03	  +4.1477500336125573E+04	  +1.8324247499999966E+05	  +4.0604925000000032E+04	  +1.0015300000000005E+04	
  +8.0770000000000000E+03	  +4.1498518989129130E+04	  +1.8324247499999966E+05	  +4.0604925000000032E+04	  +1.0015300000000005E+04	
